,x1,y1,x2,y2
Esc,10,8,54,37
F1,61,8,105,37
F2,113,8,154,37
F3,164,8,207,35
F4,214,8,255,36
F5,266,8,308,37
F6,316,8,361,36
F7,367,6,412,37
F8,419,7,462,36
F9,470,11,513,37
F10,521,9,564,37
F11,572,8,614,39
F12,621,7,667,37
~,11,45,53,87
1,61,44,105,88
2,113,44,155,85
3,163,44,207,88
4,214,46,257,87
5,265,44,308,87
6,316,43,360,88
7,368,45,411,87
8,417,43,461,87
9,469,44,512,88
0,519,45,564,88
-,571,44,614,88
=,622,45,665,89
Backspace,672,46,743,87
Tab,11,95,81,137
Q,88,95,131,138
W,139,94,183,138
E,189,94,235,137
R,240,93,283,138
T,291,95,334,137
Y,342,94,385,136
U,393,95,437,137
I,444,95,487,137
O,496,95,538,137
P,547,95,589,138
[,597,95,640,138
],648,95,692,137
\,698,95,742,136
Caps Lock,9,145,91,188
A,101,146,143,189
S,152,145,195,189
D,201,145,246,190
F,254,147,297,189
G,304,148,347,188
H,354,147,399,188
J,405,145,449,189
K,457,145,500,188
L,507,147,552,189
;,560,148,602,188
"""",611,147,653,189
Return,660,146,743,190
L Shift,11,196,119,239
Z,126,196,169,241
X,178,196,220,240
C,228,195,272,238
V,281,195,322,239
B,330,196,373,239
N,382,196,424,240
M,433,195,476,239
",",484,197,526,238
.,533,197,578,238
/,585,195,629,239
R Shift,636,198,741,239
L Ctrl,10,248,68,290
L Win,76,248,119,290
L Alt,127,248,170,290
Space,179,247,426,290
R ALt,434,247,477,289
R Win,485,249,527,291
R Ctrl,534,247,578,290
